Country or area name,Abbrevation,Region
Afghanistan,AFG,ASIA (EX. NEAR EAST)         
Albania,ALB,EASTERN EUROPE                     
Algeria,DZA,NORTHERN AFRICA                    
American Samoa,ASM,OCEANIA                            
Andorra,AND,WESTERN EUROPE                     
Angola,AGO,SUB-SAHARAN AFRICA                 
Anguilla,AIA,LATIN AMER. & CARIB    
Antigua and Barbuda,ATG,LATIN AMER. & CARIB    
Argentina,ARG,LATIN AMER. & CARIB    
Armenia,ARM,C.W. OF IND. STATES 
Aruba,ABW,LATIN AMER. & CARIB    
Australia,AUS,OCEANIA                            
Austria,AUT,WESTERN EUROPE                     
Azerbaijan,AZE,C.W. OF IND. STATES 
Bahamas,BHS,LATIN AMER. & CARIB    
Bahrain,BHR,NEAR EAST                          
Bangladesh,BGD,ASIA (EX. NEAR EAST)         
Barbados,BRB,LATIN AMER. & CARIB    
Belarus,BLR,C.W. OF IND. STATES 
Belgium,BEL,WESTERN EUROPE                     
Belize,BLZ,LATIN AMER. & CARIB    
Benin,BEN,SUB-SAHARAN AFRICA                 
Bermuda,BMU,NORTHERN AMERICA                   
Bhutan,BTN,ASIA (EX. NEAR EAST)         
Bolivia,BOL,LATIN AMER. & CARIB    
Bosnia and Herzegovina,BIH,EASTERN EUROPE                     
Botswana,BWA,SUB-SAHARAN AFRICA                 
Brazil,BRA,LATIN AMER. & CARIB    
British Virgin Islands,VGB,LATIN AMER. & CARIB    
Brunei Darussalam,BRN,ASIA (EX. NEAR EAST)         
Bulgaria,BGR,EASTERN EUROPE                     
Burkina Faso,BFA,SUB-SAHARAN AFRICA                 
Burundi,BDI,SUB-SAHARAN AFRICA                 
Cambodia,KHM,ASIA (EX. NEAR EAST)         
Cameroon,CMR,SUB-SAHARAN AFRICA                 
Canada,CAN,NORTHERN AMERICA                   
Cape Verde,CPV,SUB-SAHARAN AFRICA                 
Cayman Islands,CYM,LATIN AMER. & CARIB    
Central African Republic,CAF,SUB-SAHARAN AFRICA                 
Chad,TCD,SUB-SAHARAN AFRICA                 
Chile,CHL,LATIN AMER. & CARIB    
China,CHN,ASIA (EX. NEAR EAST)         
Hong Kong Special Administrative Region of China,HKG,ASIA (EX. NEAR EAST)         
Macao Special Administrative Region of China,MAC,ASIA (EX. NEAR EAST)         
Colombia,COL,LATIN AMER. & CARIB    
Comoros,COM,SUB-SAHARAN AFRICA                 
Congo,COG,SUB-SAHARAN AFRICA                 
Cook Islands,COK,OCEANIA                            
Costa Rica,CRI,LATIN AMER. & CARIB    
Cote d'Ivoire ,CIV,SUB-SAHARAN AFRICA                 
Croatia,HRV,EASTERN EUROPE                     
Cuba,CUB,LATIN AMER. & CARIB    
Cyprus,CYP,NEAR EAST                          
Czech Republic,CZE,EASTERN EUROPE                     
